normdF = 97.439883439152169  normdF_normal = 97.410379594240766  err = 0.009675527670460
normdF = 104.802363060783335  normdF_normal = 104.764868375772949  err = 0.012400100423663
normdF = 129.623789335603618  normdF_normal = 129.602325224494564  err = 0.006778561148521
normdF = 75.760327405925594  normdF_normal = 75.739323809623826  err = 0.014069876631302
normdF = 81.954826684472209  normdF_normal = 81.933622816499550  err = 0.030771049264202
normdF = 148.571779673412891  normdF_normal = 148.547108101105806  err = 0.009226289290082
normdF = 148.796358447910080  normdF_normal = 148.770901615480057  err = 0.179730614219595
normdF = 132.398495323381155  normdF_normal = 132.381076648801951  err = 0.081848392536560
normdF = 96.698755776368714  normdF_normal = 96.675390630468016  err = 0.034716242667643
normdF = 177.823236551246509  normdF_normal = 177.808999039061973  err = 0.018630833701643
normdF = 87.211356840609966  normdF_normal = 87.183444656686675  err = 0.007802238278464
normdF = 113.852741026455888  normdF_normal = 113.837302268002560  err = 0.005230466786320
normdF = 73.454969522083331  normdF_normal = 73.434958712756000  err = 0.004475240635603
normdF = 61.140809515041013  normdF_normal = 61.112291364465406  err = 0.011237218158047
normdF = 73.560015791859712  normdF_normal = 73.542571890088212  err = 0.013052573303483
normdF = 45.527881604960989  normdF_normal = 45.499161414607137  err = 0.022840140176271
normdF = 77.883879470119624  normdF_normal = 77.857663686308470  err = 0.016567348254125
normdF = 95.356447091563282  normdF_normal = 95.320011164506525  err = 0.017019607967083
normdF = 60.500007590544541  normdF_normal = 60.476381011706536  err = 0.007352344313352
normdF = 223.043169369542852  normdF_normal = 223.009642433269562  err = 0.017780892549519
normdF = 74.788103006194504  normdF_normal = 74.770242565156707  err = 0.025153962602375
normdF = 114.477141910359393  normdF_normal = 114.446062976319340  err = 0.007297913939398
normdF = 105.113331873445475  normdF_normal = 105.097093769992412  err = 0.009974633347846
normdF = 66.161618807060279  normdF_normal = 66.138929844952614  err = 0.097206378020621
normdF = 172.134753863042818  normdF_normal = 172.118579618488866  err = 0.012695940576589
normdF = 66.553433771101723  normdF_normal = 66.529100851930338  err = 0.011391586408748
normdF = 131.740630203563740  normdF_normal = 131.721037136995164  err = 0.004983258914739
normdF = 99.303177136605882  normdF_normal = 99.271862863086653  err = 0.013227288812747
normdF = 70.732023589293661  normdF_normal = 70.704782845005866  err = 0.004317898660366
normdF = 62.316799223390461  normdF_normal = 62.291267404239811  err = 0.004074643533091
normdF = 90.733078187774950  normdF_normal = 90.708818758597573  err = 0.015172718965770
normdF = 88.719659909964392  normdF_normal = 88.698439709668918  err = 0.014062547675796
normdF = 81.805910548749864  normdF_normal = 81.782202296784590  err = 0.015473662850187
normdF = 89.723675636558553  normdF_normal = 89.696678539480388  err = 0.054561175212747
normdF = 56.707745650405691  normdF_normal = 56.680690276986489  err = 0.012879763438386
normdF = 90.744674642992820  normdF_normal = 90.720809091060715  err = 0.005643861132201
normdF = 70.847497221063009  normdF_normal = 70.825811106518032  err = 1.059376241238295
normdF = 353.199327504724181  normdF_normal = 353.188853955300829  err = 0.066952546106547
normdF = 69.013708470658599  normdF_normal = 68.991991331676573  err = 0.075133932760853
normdF = 148.148394436716757  normdF_normal = 148.130791517947131  err = 0.075190069944572
normdF = 60.441580591854006  normdF_normal = 60.419716952676936  err = 0.064004393294668
normdF = 63.123680591128178  normdF_normal = 63.102597040790869  err = 0.040385723704027
normdF = 51.373325185877178  normdF_normal = 51.346176852515214  err = 0.020942157398116
normdF = 69.371605848635326  normdF_normal = 69.350612133549902  err = 0.010520057043782
normdF = 136.844831979462128  normdF_normal = 136.819474588791849  err = 0.007679532539442
normdF = 82.049782259587346  normdF_normal = 82.028471401076629  err = 0.073386681343853
normdF = 107.837431034958556  normdF_normal = 107.819309424227015  err = 0.024288727790401
normdF = 55.028714478845082  normdF_normal = 55.001644600920386  err = 0.015054464179758
normdF = 75.223224844380198  normdF_normal = 75.192861688064497  err = 0.006760432530775
normdF = 85.125352170686142  normdF_normal = 85.102333204742919  err = 0.018689174439618
normdF = 101.416038653965686  normdF_normal = 101.396551011692011  err = 0.009936072647410
normdF = 70.960439417302524  normdF_normal = 70.940531880941165  err = 0.007557043792521
normdF = 99.573260767860958  normdF_normal = 99.549708327138092  err = 0.012755234052091
normdF = 75.236975821840801  normdF_normal = 75.210312865828087  err = 0.016826176887487
normdF = 77.534995466939620  normdF_normal = 77.504721572426945  err = 0.008553996126675
